Name,Heteronyms
掕,掕󠇡
掖,掖󠇡
掗,掗󠇡
掙,掙󠇡
掜,掜󠇡
掞,掞󠇡
掲,"掲󠇡,掲󠇢"
掺,"掺󠇡,掺󠇢,掺󠇣"
提,提󠇡
揘,揘󠇡
揙,揙󠇡
揤,揤󠇡
揭,揭󠇡
揯,揯󠇡
揵,揵󠇡
搇,搇󠇡
搑,"搑󠇡,搑󠇢,搑󠇣"
搒,搒󠇡
搙,"搙󠇡,搙󠇢"
搚,搚󠇡
搨,搨󠇡
搫,搫󠇡
搱,搱󠇡
搳,搳󠇡
搶,搶󠇡
搹,搹󠇡
携,携󠇡
搻,"搻󠇡,搻󠇢"
摋,摋󠇡
摌,摌󠇡
摍,摍󠇡
摕,摕󠇡
摖,摖󠇡
摗,摗󠇡
摞,摞󠇡
摟,"摟󠇡,摟󠇢"
摡,摡󠇡
摢,摢󠇡
摤,"摤󠇡,摤󠇢"
摪,摪󠇡
摱,摱󠇡
摻,"摻󠇡,摻󠇢"
摼,摼󠇡
摽,"摽󠇡,摽󠇢"
摾,"摾󠇡,摾󠇢"
摿,摿󠇡
撅,撅󠇡
撆,撆󠇡
撇,撇󠇡
撈,撈󠇡
撌,撌󠇡
撍,"撍󠇡,撍󠇢"
撒,撒󠇡
撕,撕󠇡
撗,撗󠇡
撜,撜󠇡
撟,撟󠇡
撡,"撡󠇡,撡󠇢,撡󠇣,撡󠇤"
撣,撣󠇡
撨,"撨󠇡,撨󠇢"
撹,撹󠇡
擁,擁󠇡
擋,擋󠇡
擏,擏󠇡
擔,擔󠇡
擕,擕󠇡
擖,擖󠇡
擪,擪󠇡
擮,擮󠇡
擰,擰󠇡
擸,擸󠇡
擿,擿󠇡
攂,攂󠇡
攃,攃󠇡
攅,攅󠇡
攈,攈󠇡
攋,"攋󠇡,攋󠇢,攋󠇣"
攝,攝󠇡
攞,攞󠇡
攟,攟󠇡
攢,攢󠇡
攨,攨󠇡
攩,攩󠇡
攭,攭󠇡
攳,攳󠇡
攵,攵󠇡
攺,攺󠇡
攽,攽󠇡
放,放󠇡
敆,敆󠇡
敌,敌󠇡
敎,敎󠇡
敐,敐󠇡
教,教󠇡
散,散󠇡
敦,敦󠇡
敧,敧󠇡
敨,敨󠇡
敯,敯󠇡
数,"数󠇡,数󠇢,数󠇣,数󠇤"
敱,敱󠇡
敶,敶󠇡
數,"數󠇡,數󠇢,數󠇣,數󠇤"
敿,敿󠇡
斁,斁󠇡
斄,斄󠇡
斅,斅󠇡
文,文󠇡
斈,斈󠇡
斉,"斉󠇡,斉󠇢,斉󠇣"
斊,"斊󠇡,斊󠇢,斊󠇣"
斍,"斍󠇡,斍󠇢"
斜,斜󠇡
斢,斢󠇡
斪,斪󠇡
於,於󠇡
施,"施󠇡,施󠇢"
旄,旄󠇡
旉,旉󠇡
旋,旋󠇡
旘,旘󠇡
旜,旜󠇡
日,日󠇡
旰,旰󠇡
昁,昁󠇡
昅,昅󠇡
昆,昆󠇡
星,星󠇡
昢,昢󠇡
昤,昤󠇡
昮,昮󠇡
昲,昲󠇡
昳,昳󠇡
晃,晃󠇡
晄,晄󠇡
晇,晇󠇡
晈,晈󠇡
晊,晊󠇡
晟,晟󠇡
晠,晠󠇡
晥,"晥󠇡,晥󠇢"
晸,晸󠇡
晻,"晻󠇡,晻󠇢"
暅,暅󠇡
暈,暈󠇡
暏,暏󠇡
暖,暖󠇡
暤,暤󠇡
暩,暩󠇡
暬,暬󠇡
暭,暭󠇡
暴,暴󠇡
曅,曅󠇡
曋,曋󠇡
曍,曍󠇡
曑,"曑󠇡,曑󠇢,曑󠇣"
曓,曓󠇡
曗,曗󠇡
曜,曜󠇡
曡,曡󠇡
曲,曲󠇡
更,更󠇡
曵,曵󠇡
曾,曾󠇡
會,"會󠇡,會󠇢,會󠇣,會󠇤,會󠇥"
朇,朇󠇡
有,有󠇡
朊,朊󠇡
朒,朒󠇡
朓,朓󠇡
朝,朝󠇡
朞,"朞󠇡,朞󠇢"
期,期󠇡
朡,朡󠇡
朴,"朴󠇡,朴󠇢"
朵,朵󠇡
朷,"朷󠇡,朷󠇢"
机,机󠇡
杈,杈󠇡
杋,杋󠇡
